"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"UF",51,"0,77","0,725","0,695","0,756"
2015,"MUNICIPIO",5100201,NA,"0,576",NA,NA
2015,"MUNICIPIO",5100201,NA,"0,729",NA,NA
2015,"MUNICIPIO",5100102,NA,"0,628",NA,NA
2015,"MUNICIPIO",5100250,NA,"0,714",NA,NA
2015,"MUNICIPIO",5100300,NA,"0,704",NA,NA
2015,"MUNICIPIO",5100359,NA,"0,651",NA,NA
2015,"MUNICIPIO",5100409,NA,"0,701",NA,NA
2015,"MUNICIPIO",5100508,NA,"0,638",NA,NA
2015,"MUNICIPIO",5100607,NA,"0,705",NA,NA
2015,"MUNICIPIO",5100805,NA,"0,675",NA,NA
2015,"MUNICIPIO",5101001,NA,"0,687",NA,NA
2015,"MUNICIPIO",5101209,NA,"0,701",NA,NA
2015,"MUNICIPIO",5101258,NA,"0,725",NA,NA
2015,"MUNICIPIO",5101308,NA,"0,704",NA,NA
2015,"MUNICIPIO",5101407,NA,"0,675",NA,NA
2015,"MUNICIPIO",5101605,NA,"0,6",NA,NA
2015,"MUNICIPIO",5101704,NA,"0,693",NA,NA
2015,"MUNICIPIO",5101803,NA,"0,748",NA,NA
2015,"MUNICIPIO",5101852,NA,"0,661",NA,NA
2015,"MUNICIPIO",5101902,NA,"0,696",NA,NA
2015,"MUNICIPIO",5102504,NA,"0,708",NA,NA
2015,"MUNICIPIO",5102603,NA,"0,538",NA,NA
2015,"MUNICIPIO",5102637,NA,"0,734",NA,NA
2015,"MUNICIPIO",5102678,NA,"0,75",NA,NA
2015,"MUNICIPIO",5102686,NA,"0,744",NA,NA
2015,"MUNICIPIO",5102694,NA,"0,667",NA,NA
2015,"MUNICIPIO",5102702,NA,"0,693",NA,NA
2015,"MUNICIPIO",5102702,NA,"0,587",NA,NA
2015,"MUNICIPIO",5102793,NA,"0,665",NA,NA
2015,"MUNICIPIO",5102850,NA,"0,665",NA,NA
2015,"MUNICIPIO",5103007,NA,"0,688",NA,NA
2015,"MUNICIPIO",5103056,NA,"0,699",NA,NA
2015,"MUNICIPIO",5103106,NA,"0,66",NA,NA
2015,"MUNICIPIO",5103205,NA,"0,713",NA,NA
2015,"MUNICIPIO",5103254,NA,"0,611",NA,NA
2015,"MUNICIPIO",5103304,NA,"0,689",NA,NA
2015,"MUNICIPIO",5103353,NA,"0,668",NA,NA
2015,"MUNICIPIO",5103361,NA,"0,718",NA,NA
2015,"MUNICIPIO",5103379,NA,"0,601",NA,NA
2015,"MUNICIPIO",5103403,NA,"0,785",NA,NA
2015,"MUNICIPIO",5103437,NA,"0,69",NA,NA
2015,"MUNICIPIO",5103452,NA,"0,683",NA,NA
2015,"MUNICIPIO",5103502,NA,"0,718",NA,NA
2015,"MUNICIPIO",5103601,NA,"0,69",NA,NA
2015,"MUNICIPIO",5103700,NA,"0,692",NA,NA
2015,"MUNICIPIO",5103809,NA,"0,679",NA,NA
