"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAC","TRSAC","TO_M","TO","TO_NN","TO_N","TO_F","TO_F_IF","TO_FT","TO_NT","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","RMM","TMM","TMN","TMG"
2015,"MUNICIPIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,0,2,0,0,0,0,2,25.75,27.5,29.25,27.5,4.95,0,0,0,0,0,2,1,0,0,1,0,1,1,1,1,2,0,0,0,0,1,1,0,1,1,0,35.25,36.5,37.75,36.5,3.54,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,1,0,0,2,0,2698.75,2807.5,2916.25,2807.5,307.59,0,2,0,0,2,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
2015,"MUNICIPIO",5100102,5362,5516,2900,2616,1355,2766,1395,664,1306,646,NA,"0,628",NA,NA,64,0,62,0,0,0,0,64,0,0,0,0,64,21,25,29,25.52,6.13,0,2,8,44,6,4,7,2,0,55,0,10,54,42,22,64,0,0,0,1,3,57,2,4,57,2,38,39,39.5,38.54,1.76,0,8,2,16,36,0,64,63,1,0,7,14,8,11,18,0,1,0,0,4,64,0,0,0,0,24,40,7,2,0,55,0,0,64,0,2765,3107.5,3440,3117.88,511.97,8,50,5,1,63,0,32,3,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,49,0,0,15.62,5.97
2015,"MUNICIPIO",5100201,23551,20856,10932,9924,5359,12256,3241,2597,5886,1441,NA,"0,729",NA,NA,428,0,290,0,0,0,0,428,0,0,0,0,428,20,25,30,25.4,6.47,11,19,94,206,30,58,106,5,0,200,13,65,350,246,182,414,9,0,2,7,25,342,8,34,342,8,38,39,39,38.5,2.16,0,69,22,24,265,0,428,399,22,2,78,64,62,35,88,10,8,12,2,25,422,0,1,5,0,227,201,107,5,0,200,13,0,428,0,2967.5,3312.5,3610,3266.75,549.79,15,305,48,1,427,0,106,25,81,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,420,72.71,0,0,11.68,4.5
2015,"MUNICIPIO",5100201,23551,20856,10932,9924,5359,12256,3241,2597,5886,1441,NA,"0,576",NA,NA,428,0,290,0,0,0,0,428,0,0,0,0,428,20,25,30,25.4,6.47,11,19,94,206,30,58,106,5,0,200,13,65,350,246,182,414,9,0,2,7,25,342,8,34,342,8,38,39,39,38.5,2.16,0,69,22,24,265,0,428,399,22,2,78,64,62,35,88,10,8,12,2,25,422,0,1,5,0,227,201,107,5,0,200,13,0,428,0,2967.5,3312.5,3610,3266.75,549.79,15,305,48,1,427,0,106,25,81,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,420,72.71,0,0,11.68,4.5
2015,"MUNICIPIO",5100250,49991,49164,24989,24175,12300,28354,8510,6051,14129,3995,NA,"0,714",NA,NA,894,0,877,0,0,0,0,894,0,0,0,0,894,21,25,30,25.41,6.13,4,26,227,468,61,108,238,31,4,621,0,206,687,554,340,877,17,0,5,7,60,794,12,72,794,12,38,39,40,38.58,1.97,0,118,109,97,537,0,894,862,30,0,217,83,171,51,261,11,14,17,0,51,891,0,2,1,0,471,423,238,31,4,621,0,0,894,0,2925,3240,3560,3206.62,548.74,50,732,79,4,890,0,318,65,253,0,0,0,10,2,0,1,0,1,0,2,2,0,0,1,1,0,0,43437,20.575,63.27,223.71,14.16,11.19,6.36
2015,"MUNICIPIO",5100300,17509,15644,8011,7633,3781,8790,3073,1831,4325,1477,NA,"0,704",NA,NA,253,0,237,0,0,0,0,253,0,0,0,0,253,20,24,30,24.96,6.26,0,11,61,125,20,36,79,7,1,156,0,94,156,165,88,250,2,0,1,2,19,220,8,22,220,8,38,39,39,38.4,2.01,3,33,12,21,179,0,253,199,35,0,39,25,33,13,70,15,20,2,0,16,252,0,1,0,0,125,128,79,7,1,156,0,0,253,0,2950,3250,3520,3203,547.5,14,196,32,3,250,0,110,13,97,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17116,926,58.5,0,0,7.91,6.28
2015,"MUNICIPIO",5100359,6146,5247,2732,2515,1676,2771,800,835,1358,322,NA,"0,651",NA,NA,42,0,37,0,0,0,0,42,0,0,0,0,42,20,24,30.75,25.38,6.47,0,2,11,20,2,3,10,1,0,27,0,7,32,34,8,42,0,0,0,0,1,40,0,1,40,0,38,39,40,38.93,1.15,0,11,2,3,23,0,42,42,0,0,7,0,19,1,13,0,0,0,0,1,42,0,0,0,0,16,26,10,1,0,27,0,0,42,0,3099.25,3349,3518.75,3363.45,459.02,1,34,6,0,42,0,27,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3622,NA,30.93,0,0,0,4.39
2015,"MUNICIPIO",5100409,11229,10350,5438,4912,2487,5817,2046,1223,2740,949,NA,"0,701",NA,NA,145,0,144,0,0,0,0,145,0,0,0,0,145,21,25,30,25.52,6.31,0,7,46,71,5,16,29,2,0,113,0,49,95,90,55,145,0,0,1,0,6,138,0,7,138,0,38,39,39,38.61,1.66,0,25,10,22,87,0,145,78,67,0,20,11,25,3,15,23,44,0,0,4,141,4,0,0,0,75,70,29,2,0,113,0,0,145,0,3000,3300,3600,3274.91,521.31,7,120,18,2,143,0,51,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,52.92,0,0,0,4.54
2015,"MUNICIPIO",5100508,10704,10066,5413,4653,2567,5336,2163,1252,2532,869,NA,"0,638",NA,NA,102,0,81,0,0,0,0,102,0,0,0,0,102,19.25,23,29,24.56,6.55,1,2,28,44,6,5,15,5,0,66,0,40,61,63,39,102,0,0,0,0,12,80,7,12,80,7,38,39,41,39,2.25,1,17,3,5,56,0,102,85,2,0,14,10,21,5,21,0,2,0,0,11,101,0,1,0,0,48,54,18,5,0,78,0,0,102,0,2931.25,3245,3597.5,3253.12,513.47,8,76,11,1,101,0,43,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,40.28,0,0,0,4.02
2015,"MUNICIPIO",5100607,9674,8072,4277,3795,2279,4850,943,1100,2254,441,NA,"0,705",NA,NA,191,0,191,0,0,0,0,191,0,0,0,0,191,20,25,29,24.67,6.13,0,4,56,92,16,23,100,8,0,83,0,63,128,122,69,188,3,0,1,0,15,170,5,16,170,5,38,39,39,38.47,1.95,0,21,1,5,163,0,191,160,24,7,44,8,29,4,65,12,12,3,7,7,191,0,0,0,0,97,94,100,8,0,83,0,0,191,0,2970,3260,3600,3254.34,504.1,11,149,26,0,190,0,28,6,22,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,9674,NA,84.74,523.56,44.37,10.47,2.89
