UF,IDHM_2010,IDHM_2015,IDHM_2010_M,IDHM_2015_M,IDHM_2010_F,IDHM_2015_F
Brasil,"0,727","0,765","0,696","0,738","0,756","0,792"
Acre,"0,663","0,718","0,634","0,695","0,694","0,742"
Alagoas,"0,631","0,666","0,594","0,631","0,666","0,702"
Amapá,"0,708","0,728","0,676","0,696","0,742","0,76"
Amazonas,"0,674","0,711","0,649","0,689","0,701","0,734"
Bahia,"0,66","0,701","0,623","0,663","0,697","0,739"
Ceará,"0,682","0,715","0,65","0,682","0,713","0,747"
Distrito Federal,"0,824","0,837","0,797","0,812","0,851","0,861"
Espírito Santo,"0,74","0,776","0,707","0,748","0,772","0,805"
Goiás,"0,735","0,755","0,704","0,73","0,765","0,782"
Maranhão,"0,639","0,669","0,603","0,637","0,67","0,702"
Mato Grosso do Sul,"0,729","0,74","0,7","0,712","0,757","0,769"
Mato Grosso,"0,725","0,77","0,695","0,746","0,756","0,796"
Minas Gerais,"0,731","0,774","0,701","0,75","0,759","0,797"
Paraíba,"0,658","0,703","0,618","0,669","0,69","0,737"
Paraná,"0,749","0,786","0,719","0,764","0,776","0,809"
Pará,"0,646","0,689","0,612","0,653","0,678","0,725"
Pernambuco,"0,673","0,722","0,637","0,687","0,706","0,756"
Piauí,"0,646","0,689","0,606","0,651","0,676","0,729"
Rio de Janeiro,"0,761","0,785","0,734","0,76","0,789","0,808"
Rio Grande do Norte,"0,684","0,733","0,646","0,7","0,716","0,766"
Rio Grande do Sul,"0,746","0,787","0,716","0,76","0,772","0,813"
Rondônia,"0,69","0,706","0,659","0,681","0,721","0,734"
Roraima,"0,707","0,748","0,676","0,727","0,739","0,771"
Santa Catarina,"0,774","0,809","0,747","0,787","0,798","0,832"
São Paulo,"0,783","0,823","0,759","0,803","0,807","0,843"
Sergipe,"0,665","0,697","0,627","0,662","0,697","0,73"
Tocantins,"0,699","0,73","0,664","0,707","0,724","0,755"
