município,IDHM_2010
Abadia de Goiás (GO),"0,708"
Abadia dos Dourados (MG),"0,689"
Abadiânia (GO),"0,689"
Abaeté (MG),"0,698"
Abaetetuba (PA),"0,628"
Abaiara (CE),"0,628"
Abaíra (BA),"0,603"
Abaré (BA),"0,575"
Abatiá (PR),"0,687"
Abdon Batista (SC),"0,694"
Abel Figueiredo (PA),"0,622"
Abelardo Luz (SC),"0,696"
Abre Campo (MG),"0,654"
Abreu E Lima (PE),"0,679"
Abreulândia (TO),"0,665"
Acaiaca (MG),"0,63"
Açailândia (MA),"0,672"
Acajutiba (BA),"0,582"
Acará (PA),"0,506"
Acarape (CE),"0,606"
Acaraú (CE),"0,601"
Acari (RN),"0,679"
Acauã (PI),"0,528"
Aceguá (RS),"0,687"
Acopiara (CE),"0,595"
Acorizal (MT),"0,628"
Acrelândia (AC),"0,604"
Acreúna (GO),"0,686"
Açu (RN),"0,661"
Açucena (MG),"0,61"
Adamantina (SP),"0,79"
Adelândia (GO),"0,702"
Adolfo (SP),"0,73"
Adrianópolis (PR),"0,667"
Adustina (BA),"0,546"
Afogados da Ingazeira (PE),"0,657"
Afonso Bezerra (RN),"0,585"
Afonso Cláudio (ES),"0,667"
Afonso Cunha (MA),"0,529"
Afrânio (PE),"0,588"
Afuá (PA),"0,489"
Agrestina (PE),"0,592"
Agricolândia (PI),"0,599"
Agrolândia (SC),"0,725"
Agronômica (SC),"0,741"
Água Azul do Norte (PA),"0,564"
Água Boa (MG),"0,576"
Água Boa (MT),"0,729"
Água Branca (AL),"0,549"
Água Branca (PB),"0,572"
Água Branca (PI),"0,639"
Água Clara (MS),"0,67"
Água Comprida (MG),"0,675"
Água Doce (SC),"0,698"
Água Doce do Maranhão (MA),"0,5"
Água Doce do Norte (ES),"0,652"
Água Fria (BA),"0,55"
Água Fria de Goiás (GO),"0,671"
Água Limpa (GO),"0,722"
Água Nova (RN),"0,616"
Água Preta (PE),"0,553"
Água Santa (RS),"0,75"
Aguaí (SP),"0,715"
Aguanil (MG),"0,663"
Águas Belas (PE),"0,526"
Águas da Prata (SP),"0,781"
Águas de Chapecó (SC),"0,713"
Águas de Lindóia (SP),"0,745"
Águas de Santa Bárbara (SP),"0,757"
Águas de São Pedro (SP),"0,854"
Águas Formosas (MG),"0,645"
Águas Frias (SC),"0,745"
Águas Lindas de Goiás (GO),"0,686"
Águas Mornas (SC),"0,723"
Águas Vermelhas (MG),"0,601"
Agudo (RS),"0,694"
Agudos (SP),"0,745"
Agudos do Sul (PR),"0,66"
Águia Branca (ES),"0,678"
Aguiar (PB),"0,597"
Aguiarnópolis (TO),"0,657"
Aimorés (MG),"0,684"
Aiquara (BA),"0,583"
Aiuaba (CE),"0,569"
Aiuruoca (MG),"0,668"
Ajuricaba (RS),"0,753"
Alagoa (MG),"0,649"
Alagoa Grande (PB),"0,582"
Alagoa Nova (PB),"0,576"
Alagoinha (PB),"0,595"
Alagoinha (PE),"0,599"
Alagoinha do Piauí (PI),"0,531"
Alagoinhas (BA),"0,683"
Alambari (SP),"0,712"
Albertina (MG),"0,673"
Alcântara (MA),"0,573"
Alcântaras (CE),"0,6"
Alcantil (PB),"0,578"
Alcinópolis (MS),"0,711"
Alcobaça (BA),"0,608"
Aldeias Altas (MA),"0,513"
Alecrim (RS),"0,672"
Alegre (ES),"0,721"
Alegrete (RS),"0,74"
Alegrete do Piauí (PI),"0,585"
Alegria (RS),"0,695"
Além Paraíba (MG),"0,726"
Alenquer (PA),"0,564"
Alexandria (RN),"0,606"
Alexânia (GO),"0,682"
Alfenas (MG),"0,761"
Alfredo Chaves (ES),"0,71"
Alfredo Marcondes (SP),"0,741"
Alfredo Vasconcelos (MG),"0,675"
Alfredo Wagner (SC),"0,668"
Algodão de Jandaíra (PB),"0,548"
Alhandra (PB),"0,582"
Aliança (PE),"0,604"
Aliança do Tocantins (TO),"0,663"
Almadina (BA),"0,563"
Almas (TO),"0,636"
Almeirim (PA),"0,642"
Almenara (MG),"0,642"
Almino Afonso (RN),"0,624"
Almirante Tamandaré (PR),"0,699"
Almirante Tamandaré do Sul (RS),"0,74"
Aloândia (GO),"0,697"
Alpercata (MG),"0,646"
Alpestre (RS),"0,671"
Alpinópolis (MG),"0,725"
Alta Floresta (MT),"0,714"
Alta Floresta D'Oeste (RO),"0,641"
Altair (SP),"0,687"
Altamira (PA),"0,665"
Altamira do Maranhão (MA),"0,549"
Altamira do Paraná (PR),"0,667"
Altaneira (CE),"0,602"
Alterosa (MG),"0,668"
Altinho (PE),"0,598"
Altinópolis (SP),"0,73"
Alto Alegre (RR),"0,542"
Alto Alegre (RS),"0,747"
Alto Alegre (SP),"0,7"
Alto Alegre do Maranhão (MA),"0,554"
Alto Alegre do Pindaré (MA),"0,558"
Alto Alegre dos Parecis (RO),"0,592"
Alto Araguaia (MT),"0,704"
Alto Bela Vista (SC),"0,755"
Alto Boa Vista (MT),"0,651"
Alto Caparaó (MG),"0,661"
Alto do Rodrigues (RN),"0,672"
Alto Feliz (RS),"0,734"
Alto Garças (MT),"0,701"
Alto Horizonte (GO),"0,719"
Alto Jequitibá (MG),"0,66"
Alto Longá (PI),"0,585"
Alto Paraguai (MT),"0,638"
Alto Paraíso (PR),"0,678"
Alto Paraíso (RO),"0,625"
Alto Paraíso de Goiás (GO),"0,713"
Alto Paraná (PR),"0,696"
Alto Parnaíba (MA),"0,633"
Alto Piquiri (PR),"0,676"
Alto Rio Doce (MG),"0,62"
Alto Rio Novo (ES),"0,664"
Alto Santo (CE),"0,601"
Alto Taquari (MT),"0,705"
Altônia (PR),"0,721"
Altos (PI),"0,614"
Alumínio (SP),"0,766"
Alvarães (AM),"0,527"
Alvarenga (MG),"0,592"
Álvares Florence (SP),"0,728"
Álvares Machado (SP),"0,758"
Álvaro de Carvalho (SP),"0,688"
Alvinlândia (SP),"0,722"
Alvinópolis (MG),"0,676"
Alvorada (RS),"0,699"
Alvorada (TO),"0,708"
Alvorada de Minas (MG),"0,572"
Alvorada do Gurguéia (PI),"0,578"
Alvorada do Norte (GO),"0,66"
Alvorada do Sul (PR),"0,708"
Alvorada D'Oeste (RO),"0,643"
Amajari (RR),"0,484"
Amambai (MS),"0,673"
Amapá (AP),"0,642"
Amapá do Maranhão (MA),"0,52"
Amaporã (PR),"0,669"
Amaraji (PE),"0,58"
Amaral Ferrador (RS),"0,624"
Amaralina (GO),"0,609"
Amarante (PI),"0,598"
Amarante do Maranhão (MA),"0,555"
Amargosa (BA),"0,625"
Amaturá (AM),"0,56"
Amélia Rodrigues (BA),"0,666"
América Dourada (BA),"0,561"
Americana (SP),"0,811"
Americano do Brasil (GO),"0,7"
Américo Brasiliense (SP),"0,751"
Américo de Campos (SP),"0,745"
Ametista do Sul (RS),"0,682"
Amontada (CE),"0,606"
Amorinópolis (GO),"0,681"
Amparo (PB),"0,606"
Amparo (SP),"0,785"
Amparo de São Francisco (SE),"0,611"
Amparo do Serra (MG),"0,641"
Ampére (PR),"0,709"
Anadia (AL),"0,568"
Anagé (BA),"0,54"
Anahy (PR),"0,695"
Anajás (PA),"0,484"
Anajatuba (MA),"0,581"
Analândia (SP),"0,754"
Anamã (AM),"0,594"
Ananás (TO),"0,671"
Ananindeua (PA),"0,718"
Anápolis (GO),"0,737"
Anapu (PA),"0,548"
Anapurus (MA),"0,581"
Anastácio (MS),"0,663"
Anaurilândia (MS),"0,67"
Anchieta (ES),"0,73"
Anchieta (SC),"0,699"
Andaraí (BA),"0,555"
Andirá (PR),"0,725"
Andorinha (BA),"0,588"
Andradas (MG),"0,734"
Andradina (SP),"0,779"
André da Rocha (RS),"0,72"
Andrelândia (MG),"0,7"
Angatuba (SP),"0,719"
Angelândia (MG),"0,597"
Angélica (MS),"0,697"
Angelim (PE),"0,572"
Angelina (SC),"0,687"
Angical (BA),"0,625"
Angical do Piauí (PI),"0,63"
Angico (TO),"0,648"
Angicos (RN),"0,624"
Angra dos Reis (RJ),"0,724"
Anguera (BA),"0,589"
Ângulo (PR),"0,721"
Anhanguera (GO),"0,725"
Anhembi (SP),"0,721"
Anhumas (SP),"0,741"
Anicuns (GO),"0,714"
Anísio de Abreu (PI),"0,594"
Anita Garibaldi (SC),"0,688"
Anitápolis (SC),"0,674"
Anori (AM),"0,561"
Anta Gorda (RS),"0,74"
Antas (BA),"0,592"
Antonina (PR),"0,687"
Antonina do Norte (CE),"0,599"
Antônio Almeida (PI),"0,62"
Antônio Cardoso (BA),"0,561"
Antônio Carlos (MG),"0,683"
Antônio Carlos (SC),"0,749"
Antônio Dias (MG),"0,645"
Antônio Gonçalves (BA),"0,598"
Antônio João (MS),"0,643"
Antônio Martins (RN),"0,578"
Antônio Olinto (PR),"0,656"
Antônio Prado (RS),"0,758"
Antônio Prado de Minas (MG),"0,684"
Aparecida (PB),"0,578"
Aparecida (SP),"0,755"
Aparecida de Goiânia (GO),"0,718"
Aparecida do Rio Doce (GO),"0,693"
Aparecida do Rio Negro (TO),"0,651"
Aparecida do Taboado (MS),"0,697"
Aparecida D'Oeste (SP),"0,721"
Aperibé (RJ),"0,692"
Apiacá (ES),"0,673"
Apiacás (MT),"0,675"
Apiaí (SP),"0,71"
Apicum-Açu (MA),"0,568"
Apiúna (SC),"0,708"
Apodi (RN),"0,639"
Aporá (BA),"0,548"
Aporé (GO),"0,693"
Apuarema (BA),"0,552"
Apucarana (PR),"0,748"
Apuí (AM),"0,637"
Apuiarés (CE),"0,618"
Aquidabã (SE),"0,578"
Aquidauana (MS),"0,688"
Aquiraz (CE),"0,641"
Arabutã (SC),"0,733"
Araçagi (PB),"0,549"
Araçaí (MG),"0,695"
Aracaju (SE),"0,77"
Araçariguama (SP),"0,704"
Araças (BA),"0,57"
Aracati (CE),"0,655"
Aracatu (BA),"0,581"
Araçatuba (SP),"0,788"
Araci (BA),"0,534"
Aracitaba (MG),"0,661"
Aracoiaba (CE),"0,615"
Araçoiaba (PE),"0,592"
Araçoiaba da Serra (SP),"0,776"
Aracruz (ES),"0,752"
Araçu (GO),"0,693"
Araçuaí (MG),"0,663"
Aragarças (GO),"0,732"
Aragoiânia (GO),"0,684"
Aragominas (TO),"0,593"
Araguacema (TO),"0,639"
Araguaçu (TO),"0,675"
Araguaiana (MT),"0,687"
Araguaína (TO),"0,752"
Araguainha (MT),"0,701"
Araguanã (MA),"0,533"
Araguanã (TO),"0,604"
Araguapaz (GO),"0,674"
Araguari (MG),"0,773"
Araguatins (TO),"0,631"
Araioses (MA),"0,521"
Aral Moreira (MS),"0,633"
Aramari (BA),"0,588"
Arambaré (RS),"0,691"
Arame (MA),"0,512"
Aramina (SP),"0,74"
Arandu (SP),"0,685"
Arantina (MG),"0,697"
Arapeí (SP),"0,68"
Arapiraca (AL),"0,649"
Arapoema (TO),"0,68"
Araponga (MG),"0,536"
Arapongas (PR),"0,748"
Araporã (MG),"0,708"
Arapoti (PR),"0,723"
Arapuá (MG),"0,724"
Arapuã (PR),"0,676"
Araputanga (MT),"0,725"
Araquari (SC),"0,703"
Arara (PB),"0,548"
Araranguá (SC),"0,76"
Araraquara (SP),"0,815"
Araras (SP),"0,781"
Ararendá (CE),"0,59"
Arari (MA),"0,626"
Araricá (RS),"0,679"
Araripe (CE),"0,564"
Araripina (PE),"0,602"
Araruama (RJ),"0,718"
Araruna (PB),"0,567"
Araruna (PR),"0,704"
Arataca (BA),"0,559"
Aratiba (RS),"0,772"
Aratuba (CE),"0,622"
Aratuípe (BA),"0,575"
Arauá (SE),"0,595"
Araucária (PR),"0,74"
Araújos (MG),"0,698"
Araxá (MG),"0,772"
