"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",51,"3265486",3035122,1549536,1485586,779635,1753685,501802,381360,862311,241915
2015,"MUNICIPIO",5100102,"5362",5516,2900,2616,1355,2766,1395,664,1306,646
2015,"MUNICIPIO",5100201,"23551",20856,10932,9924,5359,12256,3241,2597,5886,1441
2015,"MUNICIPIO",5100250,"49991",49164,24989,24175,12300,28354,8510,6051,14129,3995
2015,"MUNICIPIO",5100300,"17509",15644,8011,7633,3781,8790,3073,1831,4325,1477
2015,"MUNICIPIO",5100359,"6146",5247,2732,2515,1676,2771,800,835,1358,322
2015,"MUNICIPIO",5100409,"11229",10350,5438,4912,2487,5817,2046,1223,2740,949
2015,"MUNICIPIO",5100508,"10704",10066,5413,4653,2567,5336,2163,1252,2532,869
2015,"MUNICIPIO",5100607,"9674",8072,4277,3795,2279,4850,943,1100,2254,441
2015,"MUNICIPIO",5100805,"9400",8567,4663,3904,2385,4829,1353,1179,2224,501
2015,"MUNICIPIO",5101001,"3083",3197,1637,1560,741,1781,675,359,898,303
2015,"MUNICIPIO",5101209,"976",1096,585,511,246,564,286,112,275,124
2015,"MUNICIPIO",5101258,"16047",15342,7583,7759,3875,8848,2619,1960,4525,1274
2015,"MUNICIPIO",5101308,"9699",10316,5191,5125,2510,5721,2085,1307,2788,1030
2015,"MUNICIPIO",5101407,"20657",18656,10077,8579,5564,10846,2246,2637,5012,930
2015,"MUNICIPIO",5101605,"7526",7591,4134,3457,1884,4010,1697,915,1787,755
2015,"MUNICIPIO",5101704,"33700",31793,16551,15242,8790,18246,4757,4281,8761,2200
2015,"MUNICIPIO",5101803,"58398",56560,28178,28382,13501,32153,10906,6559,16277,5546
2015,"MUNICIPIO",5101837,"...",NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO",5101852,"6018",5314,2856,2458,1522,2994,798,725,1416,317
2015,"MUNICIPIO",5101902,"17815",15357,8285,7072,4430,8763,2164,2216,3973,883
2015,"MUNICIPIO",5102504,"90518",87942,44098,43844,23557,48311,16074,11501,24285,8058
2015,"MUNICIPIO",5102603,"15112",14305,7406,6899,5760,6729,1816,2779,3321,799
2015,"MUNICIPIO",5102637,"31985",27577,14502,13075,7538,17257,2782,3678,8162,1235
2015,"MUNICIPIO",5102678,"37989",31589,16282,15307,8542,18832,4215,4121,9209,1977
2015,"MUNICIPIO",5102686,"6155",5154,2665,2489,1523,3152,479,739,1548,202
2015,"MUNICIPIO",5102694,"4678",4786,2549,2237,1425,2591,770,684,1230,323
2015,"MUNICIPIO",5102702,"20208",18754,9650,9104,5101,10606,3047,2544,5151,1409
2015,"MUNICIPIO",5102793,"10364",10990,5817,5173,2841,5750,2399,1381,2735,1057
2015,"MUNICIPIO",5102850,"8405",8231,4345,3886,2210,4517,1504,1078,2161,647
2015,"MUNICIPIO",5103007,"18699",17821,9294,8527,4672,9437,3712,2266,4586,1675
2015,"MUNICIPIO",5103056,"11546",11028,5728,5300,3102,6232,1694,1537,2972,791
2015,"MUNICIPIO",5103106,"5530",5490,2897,2593,1439,3077,974,707,1464,422
2015,"MUNICIPIO",5103205,"31895",30766,15552,15214,7184,17652,5930,3554,8830,2830
2015,"MUNICIPIO",5103254,"33575",26381,14084,12297,8149,14943,3289,4091,6941,1265
2015,"MUNICIPIO",5103304,"19536",18178,9376,8802,5343,10104,2731,2641,4953,1208
2015,"MUNICIPIO",5103353,"28339",25124,13347,11777,7387,13966,3771,3578,6668,1531
2015,"MUNICIPIO",5103361,"3737",3385,1788,1597,911,1958,516,431,936,230
2015,"MUNICIPIO",5103379,"17716",14983,7977,7006,4664,8354,1965,2325,3911,770
2015,"MUNICIPIO",5103403,"580489",551098,269204,281894,126425,327845,96828,61688,168142,52064
2015,"MUNICIPIO",5103437,"5006",4866,2534,2332,1223,2616,1027,574,1273,485
2015,"MUNICIPIO",5103452,"8975",8523,4393,4130,2466,4893,1164,1223,2342,565
2015,"MUNICIPIO",5103502,"21064",20341,10512,9829,5369,11644,3328,2613,5649,1567
2015,"MUNICIPIO",5103601,"8032",8171,4222,3949,1913,4320,1938,934,2068,947
2015,"MUNICIPIO",5103700,"12782",10933,5580,5353,3686,6031,1216,1920,2919,514
2015,"MUNICIPIO",5103809,"3549",3796,1936,1860,901,2071,824,441,1030,389
2015,"MUNICIPIO",5103858,"7036",6293,3443,2850,2019,3415,859,988,1506,356
2015,"MUNICIPIO",5103908,"5318",5027,2644,2383,1553,2548,926,720,1239,424
2015,"MUNICIPIO",5103957,"3023",3135,1595,1540,733,1669,733,358,819,363
2015,"MUNICIPIO",5104104,"33929",32216,16511,15705,7945,19025,5246,3853,9460,2392
2015,"MUNICIPIO",5104203,"14496",13934,7287,6647,3069,7278,3587,1457,3460,1730
2015,"MUNICIPIO",5104500,"2543",2397,1249,1148,654,1296,447,293,630,225
2015,"MUNICIPIO",5104526,"6629",5123,2795,2328,1398,3133,592,619,1454,255
2015,"MUNICIPIO",5104542,"6103",5276,2881,2395,1483,2985,808,710,1361,324
2015,"MUNICIPIO",5104559,"4013",4575,2398,2177,1274,2512,789,610,1205,362
2015,"MUNICIPIO",5104609,"12472",11478,6225,5253,2982,6764,1732,1411,3131,711
2015,"MUNICIPIO",5104807,"26401",25647,12981,12666,6385,14632,4630,3176,7165,2325
2015,"MUNICIPIO",5104906,"7925",7696,3963,3733,2202,4022,1472,1070,1965,698
2015,"MUNICIPIO",5105002,"9241",10455,5259,5196,2844,5478,2133,1382,2750,1064
2015,"MUNICIPIO",5105101,"33610",32791,16956,15835,8694,18879,5218,4299,9150,2386
2015,"MUNICIPIO",5105150,"39688",39255,20136,19119,10278,22297,6680,5089,10906,3124
2015,"MUNICIPIO",5105176,"13933",11201,5808,5393,3443,6344,1414,1730,3081,582
2015,"MUNICIPIO",5105200,"11107",11430,5960,5470,2683,6244,2503,1292,3028,1150
2015,"MUNICIPIO",5105234,"5767",5431,2852,2579,1424,3101,906,700,1467,412
2015,"MUNICIPIO",5105259,"57285",45556,24016,21540,11512,29570,4474,5652,13768,2120
2015,"MUNICIPIO",5105309,"2094",2224,1146,1078,637,1138,449,318,544,216
2015,"MUNICIPIO",5105507,"15274",14493,7565,6928,4573,7791,2129,2262,3735,931
2015,"MUNICIPIO",5105580,"10861",12006,6368,5638,3433,6704,1869,1634,3187,817
2015,"MUNICIPIO",5105606,"15433",14174,7357,6817,3901,7983,2290,1905,3882,1030
2015,"MUNICIPIO",5105622,"26369",25299,12685,12614,6151,14522,4626,3024,7308,2282
2015,"MUNICIPIO",5105903,"14959",15002,7830,7172,4033,8020,2949,1969,3840,1363
2015,"MUNICIPIO",5106000,"6048",6436,3310,3126,1549,3534,1353,763,1721,642
2015,"MUNICIPIO",5106109,"11393",11609,6270,5339,2860,5850,2899,1389,2679,1271
2015,"MUNICIPIO",5106158,"13729",11643,6378,5265,3070,6727,1846,1508,3016,741
2015,"MUNICIPIO",5106174,"3491",3029,1565,1464,1117,1440,472,558,705,201
2015,"MUNICIPIO",5106182,"6052",5436,2916,2520,1574,3064,798,740,1446,334
2015,"MUNICIPIO",5106190,"3566",3468,1811,1657,889,1919,660,446,922,289
2015,"MUNICIPIO",5106208,"4029",4587,2401,2186,1163,2423,1001,583,1165,438
2015,"MUNICIPIO",5106216,"12365",12127,6453,5674,3032,6735,2360,1455,3156,1063
2015,"MUNICIPIO",5106224,"39712",31649,16799,14850,8102,20349,3198,3992,9422,1436
2015,"MUNICIPIO",5106232,"18965",17515,9056,8459,5185,10165,2165,2543,4948,968
2015,"MUNICIPIO",5106240,"10801",9218,5132,4086,2575,5446,1197,1266,2371,449
2015,"MUNICIPIO",5106257,"20399",19643,10028,9615,4619,11099,3925,2269,5489,1857
2015,"MUNICIPIO",5106265,"8364",7332,3916,3416,2086,4032,1214,1058,1888,470
2015,"MUNICIPIO",5106273,"3845",3749,1936,1813,847,2025,877,440,983,390
2015,"MUNICIPIO",5106281,"5323",6042,3141,2901,1521,3323,1198,759,1606,536
2015,"MUNICIPIO",5106299,"10844",10684,5741,4943,2657,5901,2126,1267,2778,898
2015,"MUNICIPIO",5106307,"21014",19290,10310,8980,5241,10830,3219,2532,5079,1369
2015,"MUNICIPIO",5106315,"2369",2005,1105,900,578,1064,363,271,493,136
2015,"MUNICIPIO",5106372,"16674",15755,8115,7640,3916,8729,3110,1911,4256,1473
2015,"MUNICIPIO",5106422,"32818",30812,15970,14842,9088,16568,5156,4530,8090,2222
2015,"MUNICIPIO",5106455,"2647",2726,1400,1326,752,1443,531,392,711,223
2015,"MUNICIPIO",5106505,"32131",31779,16519,15260,8656,16833,6290,4211,8082,2967
2015,"MUNICIPIO",5106653,"6128",5395,2776,2619,1282,3093,1020,617,1541,461
2015,"MUNICIPIO",5106703,"1618",1768,919,849,389,878,501,189,441,219
2015,"MUNICIPIO",5106752,"43235",41408,20922,20486,10976,23918,6514,5384,12039,3063
2015,"MUNICIPIO",5106778,"11674",10748,5737,5011,3151,5809,1788,1527,2727,757
2015,"MUNICIPIO",5106802,"5334",5449,2860,2589,1476,2991,982,727,1437,425
2015,"MUNICIPIO",5106828,"11464",11031,5899,5132,3083,6084,1864,1434,2885,813
2015,"MUNICIPIO",5106851,"3158",3649,1903,1746,991,1820,838,495,870,381
2015,"MUNICIPIO",5107008,"16441",17599,9258,8341,4374,8871,4354,2168,4227,1946
2015,"MUNICIPIO",5107040,"57423",52066,26487,25579,13090,32190,6786,6526,15763,3290
2015,"MUNICIPIO",5107065,"15597",13033,6924,6109,3795,7552,1686,1840,3571,698
2015,"MUNICIPIO",5107107,"18622",18998,9501,9497,4262,10594,4142,2111,5352,2034
2015,"MUNICIPIO",5107156,"2630",2572,1322,1250,649,1437,486,306,704,240
2015,"MUNICIPIO",5107180,"9562",8881,4608,4273,2460,4892,1529,1220,2363,690
2015,"MUNICIPIO",5107198,"2290",2199,1126,1073,562,1169,468,273,595,205
2015,"MUNICIPIO",5107206,"5044",5070,2537,2533,1128,2847,1095,570,1420,543
2015,"MUNICIPIO",5107248,"4292",4085,2147,1938,1217,2261,607,607,1060,271
2015,"MUNICIPIO",5107263,"3038",2991,1628,1363,732,1637,622,346,765,252
2015,"MUNICIPIO",5107297,"3823",3592,1926,1666,747,1858,987,364,851,451
2015,"MUNICIPIO",5107305,"19052",17124,9185,7939,4552,10008,2564,2190,4577,1172
2015,"MUNICIPIO",5107354,"5375",5240,2824,2416,1608,2988,644,801,1365,250
2015,"MUNICIPIO",5107404,"4444",4158,2149,2009,1120,2329,709,539,1134,336
2015,"MUNICIPIO",5107578,"3792",3604,1902,1702,1175,1916,513,562,917,223
2015,"MUNICIPIO",5107602,"215320",195476,98197,97279,46529,115750,33197,22644,57817,16818
2015,"MUNICIPIO",5107701,"17161",17679,9415,8264,4530,9067,4082,2166,4216,1882
2015,"MUNICIPIO",5107743,"2284",1900,1046,854,545,1044,311,266,482,106
2015,"MUNICIPIO",5107750,"3502",3908,2017,1891,956,2115,837,460,1042,389
2015,"MUNICIPIO",5107768,"3036",2491,1362,1129,678,1502,311,344,653,132
2015,"MUNICIPIO",5107776,"7883",7397,3938,3459,2363,3817,1217,1161,1780,518
2015,"MUNICIPIO",5107792,"4591",3754,2025,1729,1097,2284,373,543,1032,154
2015,"MUNICIPIO",5107800,"19257",18463,9861,8602,4714,9613,4136,2224,4503,1875
2015,"MUNICIPIO",5107859,"11125",10625,5562,5063,3003,5669,1953,1496,2721,846
2015,"MUNICIPIO",5107875,"22665",18094,9776,8318,4996,11591,1507,2486,5189,643
2015,"MUNICIPIO",5107883,"1520",1365,743,622,361,750,254,186,336,100
2015,"MUNICIPIO",5107909,"129916",113099,57565,55534,29819,67977,15303,14626,33539,7369
2015,"MUNICIPIO",5107925,"80298",66521,34267,32254,17865,40379,8277,8728,19637,3889
2015,"MUNICIPIO",5107941,"9489",9932,5308,4624,2691,5765,1476,1318,2708,598
2015,"MUNICIPIO",5107958,"94289",83431,41990,41441,20728,49424,13279,10199,24756,6486
2015,"MUNICIPIO",5108006,"12305",10392,6059,4333,2517,6748,1127,1199,2678,456
