"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAC","TRSAC"
2015,"UF","51",56673,0,5213,55485,56673,228,9109,37899,27706,363,10959,4069,48759,NA,NA,NA,25.55,6.34,0,221,0,13889,13228,21416,192,56673,2257,54290,45381,12122,1191,192,1566,46,0,9571,38902,0,51121,5007,147,51121,5007,147,NA,NA,NA,38.43,2.08,56673,0,5213,369,223,55485,2506,2257,54290,45381,56673,228,9109,37899,27706,363,10959,4069,48759,0,1191,12122,1566,192,46,369,223,0,339,9571,38902,0,221,0,13889,2920,3225,3530,3199.12,537.73,13228,21416,0,192,56673
2015,"UF","51",0,3284,48759,1102,0,383,8027,1269,0,55983,4064,8077,1191,NA,NA,NA,25.55,6.34,56673,476,56673,2262,1537,35257,55715,0,220,28962,5726,29110,169,4676,5935,25,0,5147,17415,0,4353,34510,13771,4353,34510,13771,NA,NA,NA,38.43,2.08,0,3284,48759,1927,38180,1102,1115,220,28962,5726,0,383,8027,1269,0,55983,4064,8077,1191,56673,169,29110,5935,4676,25,1927,38180,0,7,5147,17415,0,476,56673,2262,2920,3225,3530,3199.12,537.73,1537,35257,0,55715,0
2015,"UF","51",54290,45381,1191,46,0,339,9571,38902,0,51121,5007,147,56673,NA,NA,NA,25.55,6.34,0,5213,369,223,2506,55485,228,9109,37899,27706,363,4069,10959,0,48759,221,0,13228,21416,0,192,56673,2257,192,56673,2257,NA,NA,NA,38.43,2.08,54290,45381,1191,12122,1566,46,192,37899,27706,363,0,339,9571,38902,0,51121,5007,147,56673,0,10959,4069,48759,0,221,12122,1566,0,13889,13228,21416,0,5213,369,223,2920,3225,3530,3199.12,537.73,2506,55485,56673,228,9109
2015,"UF","51",28962,5726,169,25,0,7,5147,17415,0,4353,34510,13771,0,NA,NA,NA,25.55,6.34,3284,48759,1927,38180,1115,1102,383,8027,1269,0,55983,8077,4064,56673,1191,476,56673,1537,35257,0,55715,0,220,55715,0,220,NA,NA,NA,38.43,2.08,28962,5726,169,29110,5935,25,4676,1269,0,55983,0,7,5147,17415,0,4353,34510,13771,0,3284,4064,8077,1191,56673,476,29110,5935,56673,2262,1537,35257,0,48759,1927,38180,2920,3225,3530,3199.12,537.73,1115,1102,0,383,8027
2015,"UF","51",27706,363,10959,221,0,13889,13228,21416,0,192,56673,2257,54290,NA,NA,NA,25.55,6.34,45381,1191,12122,1566,192,46,339,9571,38902,0,51121,147,5007,0,56673,5213,369,2506,55485,56673,228,9109,37899,228,9109,37899,NA,NA,NA,38.43,2.08,27706,363,10959,4069,48759,221,0,38902,0,51121,0,13889,13228,21416,0,192,56673,2257,54290,45381,5007,147,56673,0,5213,4069,48759,369,223,2506,55485,56673,1191,12122,1566,2920,3225,3530,3199.12,537.73,192,46,0,339,9571
2015,"UF","51",0,55983,4064,476,56673,2262,1537,35257,0,55715,0,220,28962,NA,NA,NA,25.55,6.34,5726,169,29110,5935,4676,25,7,5147,17415,0,4353,13771,34510,3284,0,48759,1927,1115,1102,0,383,8027,1269,383,8027,1269,NA,NA,NA,38.43,2.08,0,55983,4064,8077,1191,476,56673,17415,0,4353,56673,2262,1537,35257,0,55715,0,220,28962,5726,34510,13771,0,3284,48759,8077,1191,1927,38180,1115,1102,0,169,29110,5935,2920,3225,3530,3199.12,537.73,4676,25,0,7,5147
2015,"UF","51",0,51121,5007,5213,369,223,2506,55485,56673,228,9109,37899,27706,NA,NA,NA,25.55,6.34,363,10959,4069,48759,0,221,13889,13228,21416,0,192,2257,56673,45381,54290,1191,12122,192,46,0,339,9571,38902,339,9571,38902,NA,NA,NA,38.43,2.08,0,51121,5007,147,56673,5213,0,21416,0,192,369,223,2506,55485,56673,228,9109,37899,27706,363,56673,2257,54290,45381,1191,147,56673,12122,1566,192,46,0,10959,4069,48759,2920,3225,3530,3199.12,537.73,0,221,0,13889,13228
2015,"UF","51",0,4353,34510,48759,1927,38180,1115,1102,0,383,8027,1269,0,NA,NA,NA,25.55,6.34,55983,4064,8077,1191,56673,476,2262,1537,35257,0,55715,220,0,5726,28962,169,29110,4676,25,0,7,5147,17415,7,5147,17415,NA,NA,NA,38.43,2.08,0,4353,34510,13771,0,48759,3284,35257,0,55715,1927,38180,1115,1102,0,383,8027,1269,0,55983,0,220,28962,5726,169,13771,0,29110,5935,4676,25,0,4064,8077,1191,2920,3225,3530,3199.12,537.73,56673,476,56673,2262,1537
2015,"UF","51",0,192,56673,1191,12122,1566,192,46,0,339,9571,38902,0,NA,NA,NA,25.55,6.34,51121,5007,147,56673,0,5213,223,2506,55485,56673,228,37899,9109,363,27706,10959,4069,0,221,0,13889,13228,21416,13889,13228,21416,NA,NA,NA,38.43,2.08,0,192,56673,2257,54290,1191,45381,55485,56673,228,12122,1566,192,46,0,339,9571,38902,0,51121,9109,37899,27706,363,10959,2257,54290,4069,48759,0,221,0,5007,147,56673,2920,3225,3530,3199.12,537.73,0,5213,369,223,2506
2015,"UF","51",0,55715,0,169,29110,5935,4676,25,0,7,5147,17415,0,NA,NA,NA,25.55,6.34,4353,34510,13771,0,3284,48759,38180,1115,1102,0,383,1269,8027,55983,0,4064,8077,56673,476,56673,2262,1537,35257,2262,1537,35257,NA,NA,NA,38.43,2.08,0,55715,0,220,28962,169,5726,1102,0,383,29110,5935,4676,25,0,7,5147,17415,0,4353,8027,1269,0,55983,4064,220,28962,8077,1191,56673,476,56673,34510,13771,0,2920,3225,3530,3199.12,537.73,3284,48759,1927,38180,1115
