"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"UF",51,2631459,"3110.697"
2015,"MUNICIPIO",510010,NA,""
2015,"MUNICIPIO",510020,18000,"420"
2015,"MUNICIPIO",510025,43437,"20.575"
2015,"MUNICIPIO",510030,17116,"926"
2015,"MUNICIPIO",510035,3622,""
2015,"MUNICIPIO",510040,NA,""
2015,"MUNICIPIO",510050,NA,""
2015,"MUNICIPIO",510060,9674,""
2015,"MUNICIPIO",510080,3900,""
2015,"MUNICIPIO",510100,2885,""
2015,"MUNICIPIO",510120,NA,""
2015,"MUNICIPIO",510125,15387,""
2015,"MUNICIPIO",510130,9167,""
2015,"MUNICIPIO",510140,14121,"406"
2015,"MUNICIPIO",510160,NA,""
2015,"MUNICIPIO",510170,27396,"7.588"
2015,"MUNICIPIO",510180,58398,"31.491"
2015,"MUNICIPIO",510185,NA,""
2015,"MUNICIPIO",510190,11679,""
2015,"MUNICIPIO",510250,76230,"4.656"
2015,"MUNICIPIO",510260,5786,""
2015,"MUNICIPIO",510263,29673,""
2015,"MUNICIPIO",510268,4794,""
2015,"MUNICIPIO",510267,34364,"9.513"
2015,"MUNICIPIO",510269,NA,""
2015,"MUNICIPIO",510270,15953,""
2015,"MUNICIPIO",510279,5777,""
2015,"MUNICIPIO",510285,8379,""
2015,"MUNICIPIO",510300,NA,""
2015,"MUNICIPIO",510305,8903,"7.077"
2015,"MUNICIPIO",510310,1968,""
2015,"MUNICIPIO",510320,25932,"12.115"
2015,"MUNICIPIO",510325,10800,""
2015,"MUNICIPIO",510330,13522,""
2015,"MUNICIPIO",510335,15996,""
2015,"MUNICIPIO",510336,2737,""
2015,"MUNICIPIO",510337,NA,""
2015,"MUNICIPIO",510340,569657,"283.437"
2015,"MUNICIPIO",510343,NA,""
2015,"MUNICIPIO",510345,NA,""
2015,"MUNICIPIO",510350,18937,"3.307"
2015,"MUNICIPIO",510360,6959,"184"
2015,"MUNICIPIO",510370,8400,""
2015,"MUNICIPIO",510380,NA,""
2015,"MUNICIPIO",510385,6508,""
2015,"MUNICIPIO",510390,5021,""
2015,"MUNICIPIO",510395,NA,""
2015,"MUNICIPIO",510410,25253,"2.172"
2015,"MUNICIPIO",510420,14061,""
2015,"MUNICIPIO",510450,2430,""
2015,"MUNICIPIO",510452,6629,""
2015,"MUNICIPIO",510454,5000,""
2015,"MUNICIPIO",510455,3500,""
2015,"MUNICIPIO",510460,12472,""
2015,"MUNICIPIO",510480,26401,""
2015,"MUNICIPIO",510490,4290,""
2015,"MUNICIPIO",510500,6934,""
2015,"MUNICIPIO",510510,26670,"12.270"
2015,"MUNICIPIO",510515,31012,"2.140"
2015,"MUNICIPIO",510517,8158,""
2015,"MUNICIPIO",510520,9125,"410"
2015,"MUNICIPIO",510523,3074,""
2015,"MUNICIPIO",510525,53386,"18.183"
2015,"MUNICIPIO",510530,NA,""
2015,"MUNICIPIO",510558,9174,""
2015,"MUNICIPIO",510560,13988,""
2015,"MUNICIPIO",510562,21416,"7.653"
2015,"MUNICIPIO",510590,NA,""
2015,"MUNICIPIO",510600,5768,""
2015,"MUNICIPIO",510610,6115,""
2015,"MUNICIPIO",510615,9300,""
2015,"MUNICIPIO",510620,4029,""
2015,"MUNICIPIO",510621,NA,""
2015,"MUNICIPIO",510880,3032,""
2015,"MUNICIPIO",510618,3100,""
2015,"MUNICIPIO",510885,1990,""
2015,"MUNICIPIO",510890,4850,""
2015,"MUNICIPIO",510895,250,""
2015,"MUNICIPIO",510622,37712,""
2015,"MUNICIPIO",510617,NA,""
2015,"MUNICIPIO",510623,17714,""
2015,"MUNICIPIO",510619,2786,""
2015,"MUNICIPIO",510624,NA,""
2015,"MUNICIPIO",510625,20386,"8.401"
2015,"MUNICIPIO",510627,2379,""
2015,"MUNICIPIO",510626,3289,""
2015,"MUNICIPIO",510631,NA,""
2015,"MUNICIPIO",510628,4980,""
2015,"MUNICIPIO",510629,6350,""
2015,"MUNICIPIO",510630,16596,""
2015,"MUNICIPIO",510637,15662,"7.247"
2015,"MUNICIPIO",510642,22043,""
2015,"MUNICIPIO",510645,NA,""
2015,"MUNICIPIO",510650,23852,""
2015,"MUNICIPIO",510665,NA,""
2015,"MUNICIPIO",510670,NA,""
2015,"MUNICIPIO",510675,36191,"28.667"
2015,"MUNICIPIO",510677,NA,""
2015,"MUNICIPIO",510680,4932,""
2015,"MUNICIPIO",510682,5734,"1.701"
2015,"MUNICIPIO",510685,NA,""
2015,"MUNICIPIO",510700,NA,""
2015,"MUNICIPIO",510704,57423,"38.573"
2015,"MUNICIPIO",510706,11342,""
2015,"MUNICIPIO",510715,NA,""
2015,"MUNICIPIO",510718,6469,""
2015,"MUNICIPIO",510719,NA,""
2015,"MUNICIPIO",510720,4100,""
2015,"MUNICIPIO",510757,NA,""
2015,"MUNICIPIO",510760,215320,"144.767"
2015,"MUNICIPIO",510770,NA,""
2015,"MUNICIPIO",510775,1957,""
2015,"MUNICIPIO",510724,3893,""
2015,"MUNICIPIO",510774,2284,""
2015,"MUNICIPIO",510776,1666,""
2015,"MUNICIPIO",510777,NA,""
2015,"MUNICIPIO",510726,NA,""
2015,"MUNICIPIO",510779,2310,""
2015,"MUNICIPIO",510780,NA,""
2015,"MUNICIPIO",510785,7614,""
2015,"MUNICIPIO",510729,3300,""
2015,"MUNICIPIO",510730,15590,""
2015,"MUNICIPIO",510710,14076,"2.650"
2015,"MUNICIPIO",510735,NA,""
2015,"MUNICIPIO",510740,NA,""
2015,"MUNICIPIO",510787,18414,""
2015,"MUNICIPIO",510788,NA,""
2015,"MUNICIPIO",510790,129916,""
2015,"MUNICIPIO",510792,80298,"13.510"
2015,"MUNICIPIO",510794,8360,""
2015,"MUNICIPIO",510795,93400,"23.680"
2015,"MUNICIPIO",510800,9628,""
2015,"MUNICIPIO",510805,7810,""
2015,"MUNICIPIO",510810,NA,""
2015,"MUNICIPIO",510820,NA,""
2015,"MUNICIPIO",510830,2543,""
2015,"MUNICIPIO",510835,NA,""
