município,CODMUNRES
Abadia de Goiás,5200050
Abadia dos Dourados,3100104
Abadiânia,5200100
Abaeté,3100203
Abaetetuba,1500107
Abaiara,2300101
Abaíra,2900108
Abaré,2900207
Abatiá,4100103
Abdon Batista,4200051
Abel Figueiredo,1500131
Abelardo Luz,4200101
Abre Campo,3100302
Abreu E Lima,2600054
Abreulândia,1700251
Acaiaca,3100401
Açailândia,2100055
Acajutiba,2900306
Acará,1500206
Acarape,2300150
Acaraú,2300200
Acari,2400109
Acauã,2200053
Aceguá,4300034
Acopiara,2300309
Acorizal,5100102
Acrelândia,1200013
Acreúna,5200134
Açu,2400208
Açucena,3100500
Adamantina,3500105
Adelândia,5200159
Adolfo,3500204
Adrianópolis,4100202
Adustina,2900355
Afogados da Ingazeira,2600104
Afonso Bezerra,2400307
Afonso Cláudio,3200102
Afonso Cunha,2100105
Afrânio,2600203
Afuá,1500305
Agrestina,2600302
Agricolândia,2200103
Agrolândia,4200200
Agronômica,4200309
Água Azul do Norte,1500347
Água Boa,3100609
Água Boa,5100201
Água Branca,2200202
Água Branca,2500106
Água Branca,2700102
Água Clara,5000203
Água Comprida,3100708
Água Doce,4200408
Água Doce do Maranhão,2100154
Água Doce do Norte,3200169
Água Fria,2900405
Água Fria de Goiás,5200175
Água Limpa,5200209
Água Nova,2400406
Água Preta,2600401
Água Santa,4300059
Aguaí,3500303
Aguanil,3100807
Águas Belas,2600500
Águas da Prata,3500402
Águas de Chapecó,4200507
Águas de Lindóia,3500501
Águas de Santa Bárbara,3500550
Águas de São Pedro,3500600
Águas Formosas,3100906
Águas Frias,4200556
Águas Lindas de Goiás,5200258
Águas Mornas,4200606
Águas Vermelhas,3101003
Agudo,4300109
Agudos,3500709
Agudos do Sul,4100301
Águia Branca,3200136
Aguiar,2500205
Aguiarnópolis,1700301
Aimorés,3101102
Aiquara,2900603
Aiuaba,2300408
Aiuruoca,3101201
Ajuricaba,4300208
Alagoa,3101300
Alagoa Grande,2500304
Alagoa Nova,2500403
Alagoinha,2500502
Alagoinha,2600609
Alagoinha do Piauí,2200251
Alagoinhas,2900702
Alambari,3500758
Albertina,3101409
Alcântara,2100204
Alcântaras,2300507
Alcantil,2500536
Alcinópolis,5000252
Alcobaça,2900801
Aldeias Altas,2100303
Alecrim,4300307
Alegre,3200201
Alegrete,4300406
Alegrete do Piauí,2200277
Alegria,4300455
Além Paraíba,3101508
Alenquer,1500404
Alexandria,2400505
Alexânia,5200308
Alfenas,3101607
Alfredo Chaves,3200300
Alfredo Marcondes,3500808
Alfredo Vasconcelos,3101631
Alfredo Wagner,4200705
Algodão de Jandaíra,2500577
Alhandra,2500601
Aliança,2600708
Aliança do Tocantins,1700350
Almadina,2900900
Almas,1700400
Almeirim,1500503
Almenara,3101706
Almino Afonso,2400604
Almirante Tamandaré,4100400
Almirante Tamandaré do Sul,4300471
Aloândia,5200506
Alpercata,3101805
Alpestre,4300505
Alpinópolis,3101904
Alta Floresta,5100250
Alta Floresta D'Oeste,1100015
Altair,3500907
Altamira,1500602
Altamira do Maranhão,2100402
Altamira do Paraná,4100459
Altaneira,2300606
Alterosa,3102001
Altinho,2600807
Altinópolis,3501004
Alto Alegre,1400050
Alto Alegre,3501103
Alto Alegre,4300554
Alto Alegre do Maranhão,2100436
Alto Alegre do Pindaré,2100477
Alto Alegre dos Parecis,1100379
Alto Araguaia,5100300
Alto Bela Vista,4200754
Alto Boa Vista,5100359
Alto Caparaó,3102050
Alto do Rodrigues,2400703
Alto Feliz,4300570
Alto Garças,5100409
Alto Horizonte,5200555
Alto Jequitibá,3153509
Alto Longá,2200301
Alto Paraguai,5100508
Alto Paraíso,1100403
Alto Paraíso,4128625
Alto Paraíso de Goiás,5200605
Alto Paraná,4100608
Alto Parnaíba,2100501
Alto Piquiri,4100707
Alto Rio Doce,3102100
Alto Rio Novo,3200359
Alto Santo,2300705
Alto Taquari,5100607
Altônia,4100509
Altos,2200400
Alumínio,3501152
Alvarães,1300029
Alvarenga,3102209
Álvares Florence,3501202
Álvares Machado,3501301
Álvaro de Carvalho,3501400
Alvinlândia,3501509
Alvinópolis,3102308
Alvorada,1700707
Alvorada,4300604
Alvorada de Minas,3102407
Alvorada do Gurguéia,2200459
Alvorada do Norte,5200803
Alvorada do Sul,4100806
Alvorada D'Oeste,1100346
Amajari,1400027
Amambai,5000609
Amapá,1600105
Amapá do Maranhão,2100550
Amaporã,4100905
Amaraji,2600906
Amaral Ferrador,4300638
Amaralina,5200829
Amarante,2200509
Amarante do Maranhão,2100600
Amargosa,2901007
Amaturá,1300060
Amélia Rodrigues,2901106
