CODMUNRES,ESTADO,F_IDADE,POP,POPM,POPF
11,Rondônia,0 a 4 anos,127928,64854,63074
11,Rondônia,5 a 9 anos,139834,71216,68618
11,Rondônia,10 a 14 anos,156558,79940,76618
11,Rondônia,15 a 19 anos,155955,78756,77199
11,Rondônia,20 a 24 anos,151352,76790,74562
11,Rondônia,25 a 29 anos,146239,73349,72890
11,Rondônia,30 a 34 anos,132954,66371,66583
11,Rondônia,35 a 39 anos,116491,57891,58600
11,Rondônia,40 a 44 anos,105579,54364,51215
11,Rondônia,45 a 49 anos,90620,47198,43422
11,Rondônia,50 a 54 anos,71861,37245,34616
11,Rondônia,55 a 59 anos,54353,28045,26308
11,Rondônia,60 a 64 anos,39169,20627,18542
11,Rondônia,65 a 69 anos,28217,14731,13486
11,Rondônia,70 a 74 anos,20285,10744,9541
11,Rondônia,75 a 79 anos,13015,6775,6240
11,Rondônia,80 a 89 anos,10461,5522,4939
11,Rondônia,90 a 99 anos,1456,705,751
11,Rondônia,100 anos ou mais,82,34,48
12,Acre,0 a 4 anos,77365,39475,37890
12,Acre,5 a 9 anos,82158,42008,40150
12,Acre,10 a 14 anos,87707,44447,43260
12,Acre,15 a 19 anos,76983,38440,38543
12,Acre,20 a 24 anos,70335,35188,35147
12,Acre,25 a 29 anos,67418,33369,34049
12,Acre,30 a 34 anos,59105,29128,29977
12,Acre,35 a 39 anos,47777,23836,23941
12,Acre,40 a 44 anos,39928,19940,19988
12,Acre,45 a 49 anos,31481,15765,15716
12,Acre,50 a 54 anos,25919,12883,13036
12,Acre,55 a 59 anos,20457,10218,10239
12,Acre,60 a 64 anos,15220,7713,7507
12,Acre,65 a 69 anos,11621,5757,5864
12,Acre,70 a 74 anos,8085,4085,4000
12,Acre,75 a 79 anos,5508,2816,2692
12,Acre,80 a 89 anos,5364,2740,2624
12,Acre,90 a 99 anos,1037,480,557
12,Acre,100 anos ou mais,91,36,55
13,Amazonas,0 a 4 anos,371315,188508,182807
13,Amazonas,5 a 9 anos,384269,195961,188308
13,Amazonas,10 a 14 anos,400429,203204,197225
13,Amazonas,15 a 19 anos,364794,182739,182055
13,Amazonas,20 a 24 anos,339632,170186,169446
13,Amazonas,25 a 29 anos,323404,161251,162153
13,Amazonas,30 a 34 anos,285520,142484,143036
13,Amazonas,35 a 39 anos,232832,116779,116053
13,Amazonas,40 a 44 anos,192044,98237,93807
13,Amazonas,45 a 49 anos,157333,80095,77238
13,Amazonas,50 a 54 anos,125944,63713,62231
13,Amazonas,55 a 59 anos,96244,48371,47873
13,Amazonas,60 a 64 anos,69547,34510,35037
13,Amazonas,65 a 69 anos,51722,25717,26005
13,Amazonas,70 a 74 anos,36569,17663,18906
13,Amazonas,75 a 79 anos,24686,11747,12939
13,Amazonas,80 a 89 anos,22632,10085,12547
13,Amazonas,90 a 99 anos,4654,1780,2874
13,Amazonas,100 anos ou mais,415,149,266
14,Roraima,0 a 4 anos,47603,24319,23284
14,Roraima,5 a 9 anos,49367,25254,24113
14,Roraima,10 a 14 anos,51911,26321,25590
14,Roraima,15 a 19 anos,46987,23737,23250
14,Roraima,20 a 24 anos,43616,21828,21788
14,Roraima,25 a 29 anos,43190,21398,21792
14,Roraima,30 a 34 anos,36995,18326,18669
14,Roraima,35 a 39 anos,29748,14909,14839
14,Roraima,40 a 44 anos,25308,13039,12269
14,Roraima,45 a 49 anos,21521,11142,10379
14,Roraima,50 a 54 anos,16918,8831,8087
14,Roraima,55 a 59 anos,12647,6719,5928
14,Roraima,60 a 64 anos,9073,4942,4131
14,Roraima,65 a 69 anos,6006,3213,2793
14,Roraima,70 a 74 anos,4160,2200,1960
14,Roraima,75 a 79 anos,2575,1334,1241
14,Roraima,80 a 89 anos,2395,1142,1253
14,Roraima,90 a 99 anos,424,188,236
14,Roraima,100 anos ou mais,35,17,18
15,Pará,0 a 4 anos,736655,375416,361239
15,Pará,5 a 9 anos,781578,397851,383727
15,Pará,10 a 14 anos,836168,425547,410621
15,Pará,15 a 19 anos,787179,396977,390202
15,Pará,20 a 24 anos,749005,375543,373462
15,Pará,25 a 29 anos,707465,352748,354717
15,Pará,30 a 34 anos,617274,310021,307253
15,Pará,35 a 39 anos,514535,259524,255011
15,Pará,40 a 44 anos,434824,221141,213683
15,Pará,45 a 49 anos,353997,179840,174157
15,Pará,50 a 54 anos,294209,148706,145503
15,Pará,55 a 59 anos,233028,117257,115771
15,Pará,60 a 64 anos,174438,88059,86379
15,Pará,65 a 69 anos,134385,67039,67346
15,Pará,70 a 74 anos,95342,46728,48614
15,Pará,75 a 79 anos,62725,30050,32675
15,Pará,80 a 89 anos,55084,24476,30608
15,Pará,90 a 99 anos,12261,4640,7621
15,Pará,100 anos ou mais,899,274,625
