CODMUNRES,NOME,POPRE_T
11,Rondônia,1768204
1100015,Alta Floresta D'Oeste (RO),25578
1100023,Ariquemes (RO),104401
1100031,Cabixi (RO),6355
1100049,Cacoal (RO),87226
1100056,Cerejeiras (RO),17986
1100064,Colorado do Oeste (RO),18817
1100072,Corumbiara (RO),8842
1100080,Costa Marques (RO),16651
1100098,Espigão D'Oeste (RO),32385
1100106,Guajará-Mirim (RO),46632
1100114,Jaru (RO),55738
1100122,Ji-Paraná (RO),130419
1100130,Machadinho D'Oeste (RO),37167
1100148,Nova Brasilândia D'Oeste (RO),21592
1100155,Ouro Preto do Oeste (RO),39924
1100189,Pimenta Bueno (RO),37512
1100205,Porto Velho (RO),502748
1100254,Presidente Médici (RO),22557
1100262,Rio Crespo (RO),3750
1100288,Rolim de Moura (RO),56242
1100296,Santa Luzia D'Oeste (RO),8532
1100304,Vilhena (RO),91801
1100320,São Miguel do Guaporé (RO),23933
1100338,Nova Mamoré (RO),27600
1100346,Alvorada D'Oeste (RO),17063
1100379,Alto Alegre dos Parecis (RO),13940
1100403,Alto Paraíso (RO),20210
1100452,Buritis (RO),37838
1100502,Novo Horizonte do Oeste (RO),10276
1100601,Cacaulândia (RO),6367
1100700,Campo Novo de Rondônia (RO),14220
1100809,Candeias do Jamari (RO),24155
1100908,Castanheiras (RO),3617
1100924,Chupinguaia (RO),10129
1100940,Cujubim (RO),20974
1101005,Governador Jorge Teixeira (RO),10127
1101104,Itapuã do Oeste (RO),9995
1101203,Ministro Andreazza (RO),10823
1101302,Mirante da Serra (RO),12360
1101401,Monte Negro (RO),15873
1101435,Nova União (RO),7824
1101450,Parecis (RO),5697
1101468,Pimenteiras do Oeste (RO),2424
1101476,Primavera de Rondônia (RO),3501
1101484,São Felipe D'Oeste (RO),6103
1101492,São Francisco do Guaporé (RO),19002
1101500,Seringueiras (RO),12581
1101559,Teixeirópolis (RO),5003
1101609,Theobroma (RO),11347
1101708,Urupá (RO),13293
1101757,Vale do Anari (RO),10843
1101807,Vale do Paraíso (RO),8231
12,Acre,803513
1200013,Acrelândia (AC),13869
1200054,Assis Brasil (AC),6738
1200104,Brasiléia (AC),23849
1200138,Bujari (AC),9339
1200179,Capixaba (AC),10498
1200203,Cruzeiro do Sul (AC),81519
1200252,Epitaciolândia (AC),16731
1200302,Feijó (AC),32385
1200328,Jordão (AC),7509
1200336,Mâncio Lima (AC),17173
1200344,Manoel Urbano (AC),8641
1200351,Marechal Thaumaturgo (AC),16895
1200385,Plácido de Castro (AC),18159
1200393,Porto Walter (AC),10759
1200401,Rio Branco (AC),370550
1200427,Rodrigues Alves (AC),16974
1200435,Santa Rosa do Purus (AC),5809
1200450,Senador Guiomard (AC),21182
1200500,Sena Madureira (AC),41750
1200609,Tarauacá (AC),38819
1200708,Xapuri (AC),17608
1200807,Porto Acre (AC),16757
13,Amazonas,3938336
1300029,Alvarães (AM),15545
1300060,Amaturá (AM),10847
1300086,Anamã (AM),12320
1300102,Anori (AM),19292
